Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
4/17/2001 0:00,6,23.8,35.8,17,23,48,34.9,25.7,33.5,48.79
4/18/2001 0:00,3,18.9,,,,37,44.6,48.6,42.2,
4/19/2001 0:00,5,43.5,44.1,20,15,35,48.5,39.8,31,54.56
4/20/2001 0:00,6,24.2,,,,37,45.4,29.4,,
4/21/2001 0:00,7,3.9,19.6,,15,33,23.6,,,90.63
4/22/2001 0:00,2,4.6,,,,,19,,45.3,
4/23/2001 0:00,4,33,26.3,21,14,47,40.1,,33.5,27.31
4/24/2001 0:00,8,46.2,,,,35,29.6,22.9,24.2,
4/25/2001 0:00,30,33.5,30.5,30,11,46,36,17.7,42.8,26.36
4/26/2001 0:00,13,23,,,,39,38.8,20.1,30.4,
4/27/2001 0:00,8,,31.2,,14,59,35.4,27.5,,52
4/28/2001 0:00,14,,,,,29,37.8,28.8,37.2,
4/29/2001 0:00,22,,19.7,,10,,34.1,21,,50.04
4/30/2001 0:00,31,,,,,35,38.9,34,29.1,
5/1/2001 0:00,29,,,,,,41.9,30.5,,57.12
5/2/2001 0:00,18,,,,,20,38.2,,19.2,
5/3/2001 0:00,23,,29,,11,,28,,,49.06
5/4/2001 0:00,36,,,,,37,41.3,,29.8,
5/5/2001 0:00,28,,29.6,,19,34,37.2,,,62.26
5/6/2001 0:00,11,,,,,,34.3,18.8,,
5/7/2001 0:00,13,12.6,20.4,25,17,39,31.4,13,29.1,38.11
5/8/2001 0:00,41,29.8,,,,27,39.1,21.8,32.9,
5/9/2001 0:00,41,11.3,17.6,13.6,14,25,34.6,12.9,27.3,36.7
5/10/2001 0:00,,,,,,21,31.8,13.4,22.3,
5/11/2001 0:00,24,23.3,8.4,,18,24,26.9,8.4,,37.01
5/12/2001 0:00,18,26.5,,,,23,23.2,12.4,22.3,
5/13/2001 0:00,8,24,19.4,,14,,23.3,14.3,,
5/14/2001 0:00,12,29.5,,,,45,27.6,18.7,34.1,
5/15/2001 0:00,35,28.7,32.7,16.6,15,65,36.4,22.8,44.6,71.34
5/16/2001 0:00,11,25.6,,,,44,36.5,21.6,35.3,
5/17/2001 0:00,21,23.1,19.7,16.3,11,42,40.2,15.1,39.1,59.81
5/18/2001 0:00,17,,,,,28,34.2,,,
5/19/2001 0:00,31,14.9,25.1,,6,17,25.1,,,34.08
5/20/2001 0:00,12,19.1,,,,,26.1,,29.8,
5/21/2001 0:00,16,24.3,20.2,12.3,8,22,30.7,,31.6,36.49
5/22/2001 0:00,20,,,,,34,22.8,,41.5,
5/23/2001 0:00,31,48,,16.3,14,42,32.1,,28.5,41.74
5/24/2001 0:00,,35.7,,,,38,36.1,,41.5,
5/25/2001 0:00,,23.3,,,10,20,35.6,,,40.98
5/26/2001 0:00,,24.9,,,,22,28.5,,32.9,
5/27/2001 0:00,42,38,,,13,,29,,,40.08
5/28/2001 0:00,38,9.6,,,,21,31.1,,20.5,
5/29/2001 0:00,37,28.1,8.9,12.4,7,32,28.7,,18.6,27.9
5/30/2001 0:00,,22,,,,25,26.9,16.5,16.7,
5/31/2001 0:00,,8.2,19,21.1,7,19,29.9,17.4,21.1,29.2
6/1/2001 0:00,44,10.8,20,,7,25,27.6,11.8,,32.82
6/2/2001 0:00,40,,,,,24,22.8,12.5,24.2,
6/3/2001 0:00,31,,8.3,,7,,23.8,13.7,,23.14
6/4/2001 0:00,23,4.1,,,,22,37.7,14.1,18,
6/5/2001 0:00,27,18.2,19.2,11.7,9,25,22.4,11.4,24.8,25.47
6/6/2001 0:00,45,27.8,,,,49,30.5,15.9,26,
6/7/2001 0:00,48,28.2,27.8,17.4,14,42,39.6,24.5,39.7,59.43
6/8/2001 0:00,33,15.5,,,,33,33.4,21.3,,
6/9/2001 0:00,23,24,28.2,,6,28,26.3,15.1,,23.86
6/10/2001 0:00,51,10.3,,,,,24.4,14.2,27.3,
6/11/2001 0:00,22,,22.4,17.9,7,25,22.7,12,21.1,16.52
6/12/2001 0:00,28,18.4,,,,24,30.1,13.4,21.7,
6/13/2001 0:00,30,,25.2,,9,39,30.8,16.8,,
6/14/2001 0:00,54,,,,,,31.8,17.3,31,
