Kod stacji,DsLegAlRzecz,DsOsieczow21,DsWalbrzWyso,DsWrocNaGrob,DsZgorBohGet,KpBydBerling,KpGrudSienki,KpToruDziewu,KpWloclSiels,LbBiaPodOrze,LbChelJagiel,LbLubSliwins,LbZamoHrubie,LdLodzCzerni,LdLodzLegion,LdPioTrKraPr,LuGorzPilsud,LuZarySzyman,LuZielKrotka,MpBochKonfed,MpKrakBujaka,MpNoSaczNadb,MpTarBitStud,MpTrzebOsZWM,MpZakopaSien,MzOstroHalle,MzPlocKroJad,MzRadHallera,MzWarKondrat,MzWarWokalna,OpKluczMicki,OpOpoleOsAKr,PdBialWarsza,PdLomSikorsk,PkJasloSikor,PkKrosKletow,PkNiskoSzkla,PkRzeszRejta,PmGdaPowWiel,PmKosTargo12,PmSlupKniazi,SkBuskRokosz,SkKielJagiel,SkStaraZlota,SlBielSterni,SlCzestoZana,SlGliwicMewy,SlGodGliniki,SlKatoKossut,SlKatoPlebA4,SlTarnoLitew,SlZlotPotLes,SlZorySikors,WmElbBazynsk,WmOlsPuszkin,WmOstrChrobr,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznPolank,ZpKoszSpasow,ZpMyslZaBram,ZpSzczAndr01,ZpSzczec1Maj
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
2/22/2015,58,19,52,57,36,23,53,31,50,71,49,45,59,76,89,92,23,17,21,46,68,72,40,37,55,53,37,57,66,59,42,47,76,75,44,53,73,46,10,30,11,41,48,42,23,78,93,135,74,72,61,41,61,23,29,31,19,74,88,50,12,29,13,13
2/23/2015,35,23,47,48,27,43,62,51,51,85,64,83,82,56,70,82,25,28,35,56,76,55,46,74,71,57,60,62,72,50,50,51,51,62,41,42,74,59,39,35,,56,63,70,57,68,59,57,57,66,63,63,70,36,44,38,32,53,57,49,23,28,19,24
2/24/2015,36,14,30,35,19,22,62,32,37,91,40,42,32,31,48,75,25,17,21,34,35,57,25,24,50,53,43,43,36,30,40,41,75,86,27,39,46,,20,42,21,30,32,32,25,26,33,46,44,43,35,31,,30,,45,39,43,61,39,21,27,17,19
2/25/2015,38,25,31,32,34,39,120,58,58,62,26,47,33,64,86,91,47,32,31,58,36,43,43,34,32,44,57,53,50,42,62,38,44,46,47,48,41,,51,84,,46,40,53,50,57,39,55,38,50,43,47,50,46,,50,20,58,78,79,26,71,32,31
2/26/2015,43,41,55,44,50,44,72,55,45,30,36,32,45,43,54,,63,57,34,88,52,46,35,39,32,32,38,39,38,33,49,42,29,34,27,25,34,,17,58,25,25,27,24,43,30,38,58,39,41,35,21,56,32,24,47,21,66,80,65,30,94,38,46
2/27/2015,45,51,48,63,60,39,44,40,34,54,47,58,55,49,56,,64,68,62,62,61,54,40,53,50,43,40,53,51,41,56,61,35,54,35,45,50,,22,57,32,34,45,42,80,40,82,110,11,63,85,30,64,31,48,35,18,54,55,58,45,87,52,53
2/28/2015,38,25,29,35,36,38,71,39,41,101,62,52,75,63,70,,42,33,28,103,96,71,73,88,67,78,54,70,83,66,49,52,65,101,54,58,65,,47,57,42,62,67,59,66,,71,101,83,44,76,,73,39,56,48,26,50,55,48,40,39,30,41
3/1/2015,30,31,25,33,27,32,37,34,38,68,49,47,55,46,50,,26,29,28,49,50,49,44,37,64,47,44,56,57,49,41,55,49,53,45,49,48,,26,28,22,41,39,49,52,48,61,,44,48,52,29,12,22,37,31,36,55,46,34,20,30,12,24
3/2/2015,14,8,14,15,13,13,23,15,12,24,27,19,20,17,25,,12,13,15,15,22,19,19,26,20,20,18,22,18,15,13,17,20,25,21,25,17,,6,20,8,15,20,24,5,15,14,23,11,20,17,12,17,18,19,18,21,21,21,18,9,10,8,11
3/3/2015,18,6,12,15,9,9,24,11,10,26,31,16,30,22,34,,14,18,13,19,26,44,24,28,19,16,15,20,17,17,13,15,16,24,20,37,17,26,12,18,10,22,21,24,8,19,18,14,23,28,26,16,20,6,12,11,9,19,20,17,10,11,7,8
