Kod stacji,DsWrocWie,KpCiechoTezniowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g
5/18/2000 0:00,21.3,,38,43.7,,49.6,
5/19/2000 0:00,36,22,40,26.9,18,,42.04
5/20/2000 0:00,11.5,,,22.2,13,36,
5/21/2000 0:00,18,8,,18.2,11,,24.3
5/22/2000 0:00,12.4,,31,30.2,16,40.9,
5/23/2000 0:00,24,25,30,33.1,15,45.3,29.13
5/24/2000 0:00,32.4,,42,40.6,26,47.7,
5/25/2000 0:00,20.2,40,37,48.6,29,44.6,50.65
5/26/2000 0:00,26.6,,37,42.2,22,,
5/27/2000 0:00,40.3,35,41,44.2,28,35.3,59.71
5/28/2000 0:00,27.2,,,34.5,26,,
5/29/2000 0:00,15.2,37,18,23.1,15,29.1,24.49
5/30/2000 0:00,,,22,26.2,17,22.3,
5/31/2000 0:00,27.2,42,26,43.3,20,34.1,29.38
6/1/2000 0:00,20,43,29,27,14,30.4,29.13
6/2/2000 0:00,27.9,,38,36.6,21,,
6/3/2000 0:00,35.4,25,32,48.9,,33.5,48.45
6/4/2000 0:00,26.1,,,35.8,,,
6/5/2000 0:00,25.1,30,36,42.2,34,34.1,55.62
6/6/2000 0:00,17.8,,28,48.8,32,34.7,
6/7/2000 0:00,14.8,28,27,25.2,14,32.2,26.04
6/8/2000 0:00,22.4,,40,28.3,15,38.4,
6/9/2000 0:00,27.6,41,30,38.7,15,,55.61
6/10/2000 0:00,38.3,,32,48.9,,22.3,
6/11/2000 0:00,26.7,40,,45.1,26,,63.39
6/12/2000 0:00,28.8,,39,48.4,39,46.5,
6/13/2000 0:00,26.5,32,48,47.6,26,24.8,
6/14/2000 0:00,26,,39,49.9,33,19.2,
6/15/2000 0:00,21.4,58,26,33.4,,23.6,24.03
6/16/2000 0:00,22.9,,18,19,,,
6/17/2000 0:00,16.4,24,27,,,27.3,17.19
6/18/2000 0:00,28.8,,,21.2,,,
6/19/2000 0:00,37.6,,40,32.1,,37.2,29.12
6/20/2000 0:00,46,,49,45.4,,45.9,
6/21/2000 0:00,39.3,,59,55.2,,,69.05
6/22/2000 0:00,24.6,,,38.1,,45.3,
6/23/2000 0:00,19.5,,37,33.5,,,37.7
6/24/2000 0:00,16.4,,24,29.9,,,
6/25/2000 0:00,11.6,,,22,,,11.41
6/26/2000 0:00,18.7,,23,25.8,,23.6,
6/27/2000 0:00,49.7,,26,22.7,,19.8,
6/28/2000 0:00,105.5,,25,26.4,,19.8,
6/29/2000 0:00,19.8,,38,30.8,,19.2,42.78
6/30/2000 0:00,,,42,32.5,,,
7/1/2000 0:00,,,34,,,19.2,45.13
7/2/2000 0:00,,,,,25,,
7/3/2000 0:00,29.7,,41,,27,18.6,46.21
7/4/2000 0:00,24.4,,54,,18,24.2,
7/5/2000 0:00,16.9,,37,,15,27.9,22.82
7/6/2000 0:00,30.8,,30,,13,17.4,
7/7/2000 0:00,23.7,,44,,21,,74.68
7/8/2000 0:00,12.7,,43,,20,16.1,
7/9/2000 0:00,19.8,,,,10,,13.01
7/10/2000 0:00,19.5,,38,,15,21.7,
7/11/2000 0:00,17.1,,33,,23,26,39.18
7/12/2000 0:00,18.2,,37,,6,19.2,
7/13/2000 0:00,25,,41,,20,31,31.54
7/14/2000 0:00,18.6,,43,,21,,
7/15/2000 0:00,16.2,,31,,16,26.7,36.75
7/16/2000 0:00,10.4,,,,12,,
7/17/2000 0:00,13.8,,30,,10,44,17.94
7/18/2000 0:00,20.8,,20,,,16.7,
7/19/2000 0:00,6.7,,23,,27,27.3,
7/20/2000 0:00,20.9,,21,,21,18.6,
7/21/2000 0:00,18.3,,21,,18,,
7/22/2000 0:00,24.6,,17,,20,20.5,
7/23/2000 0:00,31,,,,20,,46.58
7/24/2000 0:00,34.3,,33,,26,27.9,
7/25/2000 0:00,17.6,,33,20.2,28,25.4,49.97
7/26/2000 0:00,21.9,,27,18.9,19,27.9,
7/27/2000 0:00,31.3,,36,17.1,18,21.7,31.54
7/28/2000 0:00,25.9,,31,21,27,,
7/29/2000 0:00,12.9,,19,9,,26,11.91
