Kod stacji,LdLodzWSSEMLegiono,Pm.63.wDSMm,SlZabrzZabr_sklod
Wskaźnik,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g
3/31/2006 0:00,14,9,
4/1/2006 0:00,18,14,
4/2/2006 0:00,20,10,
4/3/2006 0:00,15,11,
4/4/2006 0:00,18,12,
4/5/2006 0:00,17,9,
4/6/2006 0:00,24,14,
4/7/2006 0:00,30,30,76.9
4/8/2006 0:00,23,20,60.7
4/9/2006 0:00,19,11,25.4
4/10/2006 0:00,15,18,26.2
4/11/2006 0:00,30,15,31.5
4/12/2006 0:00,35,27,41.4
4/13/2006 0:00,21,18,47.5
4/14/2006 0:00,11,6,15.6
4/15/2006 0:00,15,12,27.4
4/16/2006 0:00,12,23,27.7
4/17/2006 0:00,18,12,17.9
4/18/2006 0:00,22,14,45
4/19/2006 0:00,23,16,64.9
4/20/2006 0:00,,22,41.9
4/21/2006 0:00,,11,66
4/22/2006 0:00,,13,41.5
4/23/2006 0:00,,21,34.3
4/24/2006 0:00,,37,28.7
4/25/2006 0:00,,34,33.3
4/26/2006 0:00,,17,47.4
4/27/2006 0:00,,40,17.1
4/28/2006 0:00,,21,32.8
4/29/2006 0:00,,13,13.9
4/30/2006 0:00,,14,15.8
5/1/2006 0:00,,18,42.5
5/2/2006 0:00,,11,24.4
5/3/2006 0:00,,21,13.4
5/4/2006 0:00,,32,19.6
5/5/2006 0:00,,47,51.4
5/6/2006 0:00,,49,41.4
5/7/2006 0:00,,27,27.6
5/8/2006 0:00,,17,32.9
5/9/2006 0:00,,12,30.3
5/10/2006 0:00,,15,20.3
5/11/2006 0:00,,17,26.3
5/12/2006 0:00,,9,38.1
5/13/2006 0:00,,23,21.9
5/14/2006 0:00,,3,18.5
5/15/2006 0:00,,10,15.5
5/16/2006 0:00,,19,19.3
5/17/2006 0:00,,16,14.1
5/18/2006 0:00,,,13.1
5/19/2006 0:00,,,7.4
5/20/2006 0:00,,,9.2
5/21/2006 0:00,,,5
5/22/2006 0:00,,,10
5/23/2006 0:00,,,10.2
5/24/2006 0:00,,,9.6
5/25/2006 0:00,,,16
5/26/2006 0:00,,,10.3
5/27/2006 0:00,,,15.9
5/28/2006 0:00,,,6.5
5/29/2006 0:00,,,7.8
5/30/2006 0:00,,,6.6
5/31/2006 0:00,,,7.6
6/1/2006 0:00,,,11.1
6/2/2006 0:00,,,10.8
6/3/2006 0:00,,,11.9
6/4/2006 0:00,,,6.8
6/5/2006 0:00,,,7.7
6/6/2006 0:00,,8,8.5
6/7/2006 0:00,,8,11.1
6/8/2006 0:00,,17,15.3
6/9/2006 0:00,,15,16.8
6/10/2006 0:00,,9,9.4
6/11/2006 0:00,,13,13.9
6/12/2006 0:00,,16,16.9
6/13/2006 0:00,,,25.1
6/14/2006 0:00,,25,18.3
6/15/2006 0:00,,9,21.6
6/16/2006 0:00,,9,31.3
6/17/2006 0:00,,12,29
6/18/2006 0:00,,13,11
6/19/2006 0:00,,13,20.6
6/20/2006 0:00,,13,19.4
6/21/2006 0:00,,17,23.2
6/22/2006 0:00,,16,15
6/23/2006 0:00,,8,13.9
6/24/2006 0:00,,11,17.5
6/25/2006 0:00,,17,16.9
6/26/2006 0:00,,,19.1
6/27/2006 0:00,,10,15.2
6/28/2006 0:00,,3,12.5
6/29/2006 0:00,,5,16.5
6/30/2006 0:00,,4,11.8
7/1/2006 0:00,,6,8.9
7/2/2006 0:00,,5,7.9
7/3/2006 0:00,,7,10.1
7/4/2006 0:00,,14,15.2
7/5/2006 0:00,,17,17.9
7/6/2006 0:00,,20,24.1
7/7/2006 0:00,,26,22.2
7/8/2006 0:00,,19,34.5
7/9/2006 0:00,,11,30.8
7/10/2006 0:00,,12,31.7
7/11/2006 0:00,,12,31.7
7/12/2006 0:00,,8,19
7/13/2006 0:00,15,24,22.9
7/14/2006 0:00,9,7,5.8
7/15/2006 0:00,5,6,3.6
7/16/2006 0:00,5,2,7.9
7/17/2006 0:00,10,7,22.7
7/18/2006 0:00,12,11,15
7/19/2006 0:00,12,6,15.2
7/20/2006 0:00,15,20,24.1
7/21/2006 0:00,21,15,21.9
7/22/2006 0:00,16,,22.6
7/23/2006 0:00,13,16,20.9
7/24/2006 0:00,16,,24.3
7/25/2006 0:00,13,7,18.1
7/26/2006 0:00,15,6,27.1
7/27/2006 0:00,9,11,24.6
7/28/2006 0:00,10,6,10.4
7/29/2006 0:00,15,15,18.8
7/30/2006 0:00,11,13,12.5
7/31/2006 0:00,14,,22.1
8/1/2006 0:00,12,,17.6
8/2/2006 0:00,9,13,9
8/3/2006 0:00,9,14,10.7
8/4/2006 0:00,7,12,8.9
8/5/2006 0:00,7,11,7.2
8/6/2006 0:00,6,16,13.4
8/7/2006 0:00,10,14,8.3
8/8/2006 0:00,9,,10.2
8/9/2006 0:00,9,14,9.7
8/10/2006 0:00,17,14,10.3
8/11/2006 0:00,12,8,14.1
8/12/2006 0:00,10,22,14.8
8/13/2006 0:00,9,9,11.3
8/14/2006 0:00,6,11,9.6
8/15/2006 0:00,6,7,7.8
8/16/2006 0:00,10,,11.6
8/17/2006 0:00,15,,20.4
8/18/2006 0:00,13,,16
8/19/2006 0:00,12,,14.4
8/20/2006 0:00,9,,20.3
8/21/2006 0:00,8,,9.8
8/22/2006 0:00,8,,9.4
8/23/2006 0:00,8,,7.3
8/24/2006 0:00,16,7,13.9
8/25/2006 0:00,17,12,20.3
8/26/2006 0:00,12,,13.5
8/27/2006 0:00,9,,11.3
8/28/2006 0:00,11,,12.2
8/29/2006 0:00,6,,6.4
8/30/2006 0:00,8,,5.1
8/31/2006 0:00,8,,4.9
