Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsZgorzBohA,KpBydgBerlinga,KpGrudzStar,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdLodzWSSEMLegiono,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWIOSKBar0106,MpKrakowWIOSBuja6119,MpNSaczWIOSNadb6205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockPKN,MzRadomHallera,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkJasloWIOSSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,Pm.01w.02m,Pm.63.wDSAa,Pm.AM12.a,SkBuskoWios2,SkKielJagielWios,SkStaracZlota2,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_aleja,SlKatowKato_kossu,SlTarnoTarn_litew,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,WpWKP001,WpWKPKalisz007/10,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
10/5/2014 0:00,38,28.5,38,42.5,26.1,26,29.691865,32.459473,,30.8,36,37,31,35,34.5,43.1,38.2,27.4,43.9,38,35,42,23,56,29,18,43.4,35.74,39.63,36.1,40.64,30,25,30.6,40.07,24.5,20.6,48.7,39.5,27,22,33,33.52,37.5,46.99,23,21,43,41,32,27,31,28,26,10.008,21.068155,18.187368,17.35,39.38,38.28,26.1,35.74,25.39,37.5
10/6/2014 0:00,35,27.9,25,32.3,23.2,22.4,27.986995,29.746046,,18.7,25,34,32,38,35.3,35.3,44.5,26.6,23.2,31.7,37,47,26,27,32,26,,35.38,41.99,33.75,38.29,29,24,20.1,23.64,22.6,22.5,47.4,31,23,20,30,31.98,36.36,43.18,17,40,44,53,36,36,33,26,34,5.641,18.486369,17.14786,16.98,38.03,38.26,22.65,33.75,19.5,35.3
10/7/2014 0:00,37,23,35,31.2,24.4,26.7,29.119402,26.327176,,22.7,24,25,22,26,30.4,35.1,31.3,25.3,20.2,31.1,30,29,24,23,24,19,,30.66,27.84,25.22,29.94,23,17,31,23.47,19.4,17.7,24.8,26.3,27,28,29,25.33,27.75,27.04,11,30,29,32,,18,20,25,,6.187,27.005283,23.225089,23.04,27.22,28.25,28.24,33.38,26.06,35.48
10/8/2014 0:00,29,19.9,28,28.5,21.5,22.6,30.335185,26.436194,,18.3,18,24,19,22,29.8,25.3,28.9,13.7,17.9,25.6,21,25,19,17,24,14,,30.48,22.9,21.05,24.86,23,15,21.5,21.66,13.9,11.8,20.7,14.6,26,17,26,20.35,22.31,24.85,14,29,13,30,23,32,24,21,21,19.662,21.601686,22.042923,20.99,32.41,26.69,16.91,19.23,18.83,13.52
10/9/2014 0:00,20,16,24,20.9,16.6,17.5,23.037311,20.256428,,13.6,18,20,15,19,24.4,32.7,27.3,16.1,20,21.9,23,23,18,16,18,14,,25.04,21.63,19.78,24.32,17,12,,19.13,17.1,14,20.7,14.8,24,22,28,22.51,27.21,20.5,8,24,11,32,22,24,13,19,20,17.469,17.356887,14.4243,17.62,21.18,18.92,22.5,25.04,18.49,18.92
10/10/2014 0:00,33,12,30,26.7,18.7,17.9,28.401012,21.246634,,11.4,24,22,24,21,28.5,35.6,36.7,14.4,23.4,17.7,28,33,27,,24,24,,23.4,27.45,31.33,31.94,29,14,33.6,42.95,22.7,20.8,29.3,24.3,19,13,34,28.04,43.54,24.13,10,32,18,33,28,37,20,22,38,16.014,19.576508,22.098403,17.49,29.2,22.19,15.11,23.23,14.79,13.51
10/11/2014 0:00,31,17.2,23,33.6,19.1,19.4,29.545413,28.70049,,10.9,34,29,35,37,33.3,32,48.7,19.3,29.8,23.4,46,37,28,,31,26,47.22,37.38,39.27,39.01,50.81,41,22,26,28.88,23.3,21.2,36.3,27.5,18,14,32,35.21,40.27,41.55,22,42,59,30,39,31,32,25,33,13.833,13.163628,16.642744,10.39,34.07,36.64,16.52,31.57,17.15,20.61
10/12/2014 0:00,15,9.7,23,17.6,12.4,14.2,26.190476,21.045303,,7.8,45,36,26,28,32,35.5,30.2,10.8,23.1,18.3,29,33,27,,33,25,39.23,27.94,28.91,33.02,39.56,15,12,25.2,33.21,21.2,22.2,33,28.1,,14,25,34.94,39.73,27.76,17,20,53,29,25,25,27,19,20,7.279,15.525131,16.023545,15.8,24.33,25.01,18.22,28.3,14.29,15.55
10/13/2014 0:00,29,17.6,24,27,19.3,15.5,22.932544,24.139618,,10,27,34,39,39,31.5,37.8,23.5,19.3,24,26.4,32,33,31,,,23,32.69,28.3,40.72,26.85,30.32,28,18,22.4,19.85,19.7,22.1,34,27.2,,14,25,37,47.71,37.74,19,33,67,36,38,29,37,45,33,12.92,14.398286,12.718416,8.91,32.17,29.78,17.44,32.84,20.17,25.01
10/14/2014 0:00,23,9.2,18,22.5,10.2,22.6,32.586247,25.102487,,11.2,34,30,25,26,36,20.7,38,12.3,16.3,13.9,21,32,21,,23,12,35.05,34.11,24.5,31.75,36.66,21,13,32.2,36.64,25.5,24.8,26.3,24.2,21,16,29,23.94,28.66,23.04,20,27,48,35,29,23,19,36,17,7.464,19.579708,21.957488,22.84,26.22,21.45,14.26,25.58,12.1,23.99
10/15/2014 0:00,20,7.6,12,16.9,8.8,6.8,10.020421,12.802248,,2,22,22,29,28,16.7,18.2,28.9,12.6,13.7,11.6,14,25,23,,17,19,23.43,21.59,23.27,20.14,21.96,29,22,17.2,1.99,14.1,13.6,24.9,18,5,5,15,21.81,31.93,28.67,7,45,58,27,24,21,38,39,16,3.822,,11.780319,2.71,21.36,19.44,4.87,26.31,7.74,20.44
10/16/2014 0:00,,9.8,16,26.1,12.4,20.8,40.725242,32.974048,,7.1,74,40,38,24,21.3,27.5,30.4,12.5,12,16.6,18,25,20,,23,9,32.33,27.4,26.91,27.94,35.93,27,19,40,35.92,12.9,10.4,27.1,17,10,11,25,32.43,29.75,31.21,15,40,50,28,36,28,23,16,13,5.824,9.664012,16.450627,2.44,25.68,22.5,13.74,24.49,16.14,25.67
10/17/2014 0:00,11,5.8,12,18.1,6.7,26.8,33.226571,36.344747,,6.2,58,39,38,24,25.5,31.5,28.7,12.5,17.8,13.9,20,23,19,,25,11,41.41,30.48,22,37.01,42.75,15,10,20.6,20.03,14.1,16.1,22.6,18,5,,18,25.6,25.76,23.22,3,19,36,15,28,22,13,15,13,4.368,8.192731,13.263322,4.25,,22.54,13.94,17.24,17.82,20.11
10/18/2014 0:00,20,9.1,32,21,12.3,14,13.566006,8.155891,,6.3,9,9,18,16,28,22,64,14.1,30.8,19.6,35,33,27,,21,23,23.07,17.6,23.63,20.68,21.05,19,12,38.5,47.29,27.8,27.6,25.8,32.9,9,11,15,37.3,43.9,28.12,18,39,60,44,35,28,39,13,33,6.188,4.866887,4.487499,6.13,33.05,39.64,12,24.31,11.27,17.4
10/19/2014 0:00,16,9.6,13,15.6,9.3,16.2,16.711531,12.744719,,10.3,15,13,15,12,21.6,12.9,23.5,9.9,8.2,11.9,14,28,14,,17,21,19.8,20.68,18.54,18.32,21.23,16,12,20.3,27.43,20.6,16.2,14.4,18.7,11,,16,16.31,23.22,19.59,7,25,54,34,17,21,28,13,13,3.093,12.362622,14.04275,16.41,17.35,19.07,11.28,15.42,9.75,12.16
10/20/2014 0:00,7,5.4,10,8.9,5.5,8.4,7.462119,4.18944,,5.5,12,14,10,12,11.6,22.5,11.5,6.5,9.6,8.8,13,15,30,9,17,9,11.53,8.35,8.91,9.8,10.16,7,8,8.9,9.93,21.7,17.6,11.3,18.3,4,,9,9.71,9.44,6.2,7,12,31,12,22,10,11,9,20,3.094,4.538943,4.434445,5.54,11.17,12.7,7.66,7.44,4.88,7.94
10/21/2014 0:00,18,5.9,8.6,12.7,8.3,10.3,12.713426,6.257855,,8.3,20,27,14,22,19.1,27.6,23.5,8.3,10.2,12.4,23,25,34,24,25,31,15.8,14.15,16.36,11.97,13.97,14,14,25.5,22.38,21.4,30.3,22.6,25.4,9,,14,17.4,17.59,16.51,9,29,,26,35,27,24,10,,7.643451,7.572263,9.451744,11.48,14.9,16.08,10.22,13.06,8.91,7.43
10/22/2014 0:00,8,4.3,6.5,6.5,6,20.7,16.965297,16.052155,,12.8,16,21,21,20,23.5,,27.6,4.9,13.6,10.4,16,12,20,15,13,18,23.07,20.86,22.18,19.41,19.96,7,8,14.2,16.24,11.7,14.1,23.7,15.1,6,13,20,11.74,23.95,17.96,12,13,24,13,12,7,5,8,13,,9.371424,8.339087,12.41,16.86,16.17,16.67,13.97,13.96,10.64
10/23/2014 0:00,24,12.3,6.8,23.4,14.7,17,13.240263,13.071695,,9.9,8,13,9,12,17.8,23.8,20.9,9.1,28.4,21.1,11,11,11,7,8,10,15.8,19.59,14.91,12.34,12.7,15,16,9,12.27,10.6,13.5,21.1,14.4,9,,21,8.1,10.88,9.07,9,18,19,22,9,11,12,7,8,2.001929,8.496115,14.458742,7.6,23.53,24.63,14.64,23.22,9.75,17.57
10/24/2014 0:00,29,13,20,26.9,17.2,18.2,20.237542,15.075105,,14.6,12,17,20,20,21.5,28.4,26.9,14.3,36.2,26.6,20,19,20,18,20,18,20.16,20.5,20.72,16.33,19.42,24,24,13.1,15.16,14.4,18.2,22.6,17.4,15,,17,19.01,25.39,19.41,14,28,32,35,30,26,27,17,20,8.916062,13.873026,9.763051,9.12,25.8,27.96,21.67,22.57,24.71,18.07
10/25/2014 0:00,54,17.6,19,32.5,23.2,29.7,35.062042,23.228471,,26.8,26,22,23,22,26.4,37.6,31.5,24.7,44.4,38.6,37,23,46,32,27,55,39.77,27.94,24.72,29.57,33.39,22,28,22.6,31.95,21.6,20.9,21.9,14.8,27,,31,22.34,26.11,27.94,9,33,36,34,43,27,38,21,36,18.746019,24.052731,19.490522,21.98,34.97,38.2,32.79,49.35,30.1,36.83
10/26/2014 0:00,52,17,19,30.7,17.6,40.7,54.314352,31.268364,,35.3,29,28,30,32,42.9,41.1,44.7,18.8,22.6,32.1,41,32,46,30,44,44,40.14,43.18,31.45,32.84,37.92,22,27,32.5,57.75,35.7,32.5,48.2,32.5,31,,38,22.2,27.2,25.94,47,78,63,66,54,43,61,28,54,25.836032,34.821951,30.998568,24.74,39.06,34.6,30.99,35.01,24.21,21.96
10/27/2014 0:00,55,21.1,18,35.7,19,37.3,47.160629,41.866537,,27.1,43,58,58,43,27.6,48.9,45.1,17.8,49.8,30,31,30,65,38,31,47,49.77,41.37,45.08,36.65,41.05,43,39,37.9,97.45,46.5,65.4,56.6,72.1,25,,35,22.34,26.67,50.98,55,76,70,85,52,38,72,22,69,25.292041,33.407593,31.350468,26.62,36.79,51.28,20.75,32.29,17.48,18.08
10/28/2014 0:00,39,33,12,,18.2,47.7,62.519515,49.108733,,33.5,42,33,49,35,47.5,66,48.2,18.3,31.4,30.4,40,37,82,48,,46,60.84,51.53,43.44,45.72,51.17,47,56,50.7,58.12,67.2,78.4,68.5,71.7,36,,39,34.19,73.46,78.38,63,83,93,142,66,55,27,29,67,35.479704,38.027509,35.607425,28.51,49.51,62.04,25.27,36.83,35.98,23.64
10/29/2014 0:00,45,,19,41.6,23.4,52.4,99.777348,59.069653,,35.2,42,44,46,43,51,62,61,26.2,37.3,26.7,60,57,95,73,51,41,70.46,63.86,70.63,54.43,71.67,47,48,52.1,123.99,62.3,38.4,54.1,96.7,39,,65,37.91,117.18,86.73,68,130,68,111,90,57,,29,48,38.945204,46.54481,48.091685,32.67,,65.12,33.46,46.81,31.94,25.85
10/30/2014 0:00,60,27.7,37,55.5,30.8,65.9,120.779485,76.577851,,20.3,124,101,83,73,49.3,42.9,66,19.7,42.7,41.3,98,107,94,89,71,49,74.28,62.31,58.9,69.67,78.2,47,57,61.2,120.56,73.8,73.1,68.6,87.3,24,,74,47.39,100.85,56.25,79,68,81,97,91,72,,37,76,43.67289,44.035904,51.699113,36.85,,53.77,26.12,46.63,29.08,33.96
10/31/2014 0:00,59,27.9,41,56.8,27.8,28.4,60.278972,33.053562,,21.8,98,81,46,47,35.5,,87,23.2,42.4,41.1,88,113,110,63,78,51,65.02,36.65,47.26,45.54,41.01,53,60,27.9,49.46,78,114,51.5,89.2,18,,71,43.39,70.75,70.58,93,34,124,119,119,100,90,27,112,26.754027,16.140394,22.434436,23,,41.58,20.9,51.52,23.37,26.19
11/1/2014 0:00,58,24.5,37,54.1,27,46.3,60.689798,55.085812,,36.5,59,47,57,53,58,,69,22.6,45.1,32.1,69,128,73,61,57,41,61.57,50.08,59.8,60.78,69.49,53,43,70.3,65.7,37.5,33.4,52.2,47.6,52,45,31,75.38,71.1,69.49,44,80,94,65,91,45,46,51,65,36.211446,38.356831,32.898083,21.68,57.6,62.9,43.03,50.62,40.35,39.03
11/2/2014 0:00,38,19.3,19,30.5,16.9,50.6,74.892316,67.741718,,45.3,46,46,53,53,53,,59,19.2,19.7,23.4,39,95,57,31,50,36,59.02,58.6,49.99,58.78,58.97,31,29,41,51.62,30.4,38.5,52.3,44.1,59,,55,42.3,58.96,62.78,23,30,41,36,57,41,46,28,30,28.576109,39.340846,39.417278,40.01,53.1,43.5,35.6,38.1,33.62,27.04
11/3/2014 0:00,41,21.2,40,35.9,25.8,29.1,47.899265,42.839827,,24.7,42,39,36,33,38.2,28.5,48.4,17.9,30.9,24.4,18,97,36,22,34,31,38.72,39.91,30.17,35.02,38.47,28,28,53.2,71.29,33.4,37.4,42.4,33.5,31,,28,21.08,25.42,31.75,18,37,52,68,61,45,34,25,55,22.93411,34.247633,30.522979,36.62,38.3,42.7,21.17,24.31,18.33,16.05
11/4/2014 0:00,32,,25,36.3,27.8,38.7,59.905614,46.358415,,33.3,30,25,29,28,34.4,37.5,35.8,26.5,24.7,37.8,33,47,37,26,19,15,43.04,35.38,40.17,36.47,39.74,20,23,38.1,45.49,35.5,34.2,31.2,30.7,47,,61,31.4,39.18,33.75,15,34,37,38,33,23,29,18,,28.57871,34.151505,33.656939,33.88,46.1,32.3,34.55,59.69,37.82,36.16
11/5/2014 0:00,40,,15,26.5,18.5,23.8,67.759749,34.866057,,22.6,24,27,23,29,18,26.5,28.9,26.4,52.3,26.7,22,14,21,21,14,8,29.6,26.67,29.81,27.03,29.94,14,16,31.3,31.59,27,26.1,27.7,24.9,43,,75,22.5,26.66,26.49,12,24,20,17,17,10,34,15,16,23.662177,31.215158,28.073453,28.72,51.2,18.6,30.24,56.97,30.93,34.98
11/6/2014 0:00,28,,32,,22.1,34.9,75.618867,37.727231,,26.1,23,26,21,26,29.5,39.9,36.2,18.3,19.1,24.7,23,34,21,24,21,12,35.42,33.56,40.9,33.93,32.12,29,27,27,45.48,23.6,23,31.5,19.4,42,,54,28.31,,33.38,11,38,33,49,46,39,43,24,32,28.395646,27.184128,27.474275,27.5,58.4,36.6,22.28,20.32,18.67,12.84
11/7/2014 0:00,21,,26,19.9,17,16,47.714418,41.692235,,12,34,22,23,23,33.8,43.7,50,14.6,19.3,24.7,25,39,25,23,27,10,38.68,20.68,34.9,34.11,34.29,25,20,26.4,38.44,27,23.3,27.4,24.6,19,,50,28.05,,,20,58,111,105,98,104,51,44,12,12.377815,11.096219,13.97379,18.26,32.8,24.5,17.43,32.11,22.03,25.17
11/8/2014 0:00,58,,34,,28.8,31.3,69.832354,67.241963,,18.7,13,45,21,26,30.4,41,46.7,16.9,29.6,26,33,28,22,25,31,20,32.69,27.21,15.63,21.95,25.4,22,26,12.6,26.53,26.6,25.3,26.4,25.6,32,,69,18.46,29.93,20.86,10,38,65,,56,47,31,23,44,14.746846,16.668664,13.553385,7.42,39.7,35.9,22.38,41.73,24.22,26.86
11/9/2014 0:00,37,,48,,35.6,23,43.730266,31.00192,,15.1,12,14,12,18,20.5,34.5,36,12.8,29,26.9,29,26,33,23,22,33,25.61,20.32,18,20.68,21.23,23,28,11.4,15.7,28.8,23.3,27.7,26.8,33,,21,23.67,23.58,13.06,31,25,32,47,29,24,31,18,25,14.55869,13.637189,11.082325,8.13,27.2,25.3,22.19,38.83,16.99,25.68
11/10/2014 0:00,53,,20,,17.5,24.1,35.485142,34.770247,,30.2,25,25,30,28,32.5,37.9,42.5,15.8,61.4,37.7,41,24,27,26,20,19,37.77,34.47,36.72,32.84,26.49,34,31,27.8,28.34,30.2,31.2,33.8,27,33,,25,26.05,37.73,27.21,23,36,35,44,,23,32,20,23,12.9246,17.069557,13.920009,20.26,47.5,35.9,25.27,35.2,21.02,25.51
11/11/2014 0:00,46,,32,,38.6,37.2,56.609002,48.499677,,26.2,32,33,32,35,30.9,43.9,40,15.4,35.2,34.7,31,45,39,26,22,31,45.77,41.37,35.27,39.37,41,32,28,36.4,35.92,,34.6,40.6,27.3,30,,41,27.79,35.92,29.21,17,31,37,54,41,,36,21,21,25.66623,27.980891,27.054035,23.42,48.8,51.4,17.56,36.65,17.83,32.95
11/12/2014 0:00,22,,19,,57.4,41.9,51.754404,49.682718,,33.3,39,29,35,28,40.5,45.8,50,25.5,30.9,29.3,52,45,39,25,,45,41.95,42.64,25.86,37.19,24.86,21,28,42.6,39.17,,30,34.1,40.2,41,,37,29.51,33.92,33.02,16,37,48,49,58,25,55,36,40,28.034661,38.454412,30.106198,46.29,41.2,41.3,34.68,49.35,30.43,40.05
11/13/2014 0:00,61,,43,,33.7,40.9,49.936161,37.17607,,25.1,32,21,27,27,40,45.8,46.5,29.9,36,51.1,53,38,54,47,40,52,37.23,43,30.36,31.57,,51,57,34.8,31.97,51.8,51.9,26.8,32,31,38,33,37.33,39.73,34.11,34,43,74,98,69,46,59,33,60,19.482175,33.567348,22.23712,29.3,53.4,52.2,38.83,65.13,25.73,57.61
11/14/2014 0:00,44,,49,,37.5,6.3,37.454343,,,16.5,27,37,34,34,34.5,38.1,38.5,19.9,29,34.7,48,35,91,25,28,52,32.51,31.93,21.27,29.75,,38,37,21.8,18.77,34.5,27,23.3,22.5,28,25,28,22.26,26.85,23.58,73,34,47,77,46,38,52,26,21,14.015034,15.726069,18.081145,17.13,40.7,44.2,30.3,48.62,24.05,41.06
11/15/2014 0:00,42,36.7,22,,24.6,28,,,,16.9,43,34,36,35,32,43,39.1,20.8,25.4,41,81,38,39,30,29,15,39.41,36.83,29.45,37.01,,37,42,38.1,30.14,23.3,24.5,33.9,27.9,19,16,22,30.95,31.57,30.48,60,29,50,66,44,39,49,23,39,10.010739,16.656828,10.336546,28.1,38.8,42.1,20.72,40.28,18.83,31.6
11/16/2014 0:00,31,27.5,18,,25.6,33,,,,21,35,31,35,34,40.4,46,42,20.6,27.9,35.1,38,31,21,24,32,21,40.5,38.83,29.45,38.64,,30,32,32.4,31.95,25.5,22.1,36.3,20.8,22,33,,30.15,37.19,,36,32,63,,51,35,72,26,46,19.656377,20.331623,22.276854,30.3,42.4,45,27.45,42.81,21.86,33.63
11/17/2014 0:00,37,23.7,30,,28.5,22.6,,,,11.7,30,22,24,25,27.6,37.4,29.8,15.8,30.4,33.4,34,22,22,22,26,39,24.54,24.68,19.45,20.86,,42,39,28.8,25.45,23.5,19.3,,22.8,22,24,,18.36,22.36,19.23,50,31,54,65,37,,51,23,27,10.735861,18.829519,12.13568,27.02,45.7,40.2,28.68,45.72,19.34,38.19
11/18/2014 0:00,26,16.8,26,31.4,19.2,20.3,25.096958,19.447425,,,28,21,21,20,22.4,24.2,26.7,13.3,22.6,30.4,25,15,25,17,16,39,19.8,23.95,12.91,17.6,,24,25,30.3,31.4,16.6,15.8,,12.4,29,20,28,9.99,12.69,12.88,46,17,33,,23,,30,15,,15.286624,20.283055,17.565498,23.61,30.1,26.4,16.94,30.3,16.48,18.92
11/19/2014 0:00,16,10.6,14,25.4,13,27.9,40.273362,33.026673,,,26,17,17,15,23.1,31.9,30.4,16.1,33.8,23.3,20,22,27,16,17,21,26.7,25.94,18.36,22.86,,19,27,30.6,31.76,6.76,,,13.5,34,24,44,11.17,16.87,13.24,43,24,43,29,35,30,30,12,19,21.292084,20.548567,21.163348,29.96,24.2,24.5,31.73,35.92,22.03,29.06
11/20/2014 0:00,24,13.5,16,30.3,16.8,30.8,44.121436,37.688081,,,18,12,15,12,25.1,36.3,44.5,17,22.2,35,11,22,11,18,22,16,27.24,24.31,16.36,19.05,27.94,27,15,19.4,30.51,11.4,18.3,18.1,15.4,30,24,53,15.33,15.77,17.42,13,30,17,22,31,28,15,16,17,17.289388,14.5072,23.037163,,46,32.9,33.61,47.72,26.4,53.4
11/21/2014 0:00,33,14.6,27,30.3,26.4,34.7,57.376881,36.386296,,,33,16,27,19,35.6,43.1,48,28.5,28.8,39.9,26,30,17,19,22,14,41.69,35.38,26.48,32.3,31.39,21,22,49,49.27,15.2,20.7,32.2,24.4,26,22,45,15.72,21.94,24.85,27,23,25,47,28,28,21,14,22,22.928267,22.075857,26.70518,23.59,36.1,40.8,35.25,71.3,19.17,18.08
11/22/2014 0:00,32,20.4,21,25.9,33.7,40.1,67.903844,27.444394,,,56,29,32,30,27.3,39.5,48,18.6,20.9,28.3,39,38,30,36,33,14,69.2,42.64,41.8,43.91,42.63,32,31,46.5,92.77,28,33.7,41.7,27.8,40,36,54,28.75,25.93,27.94,47,38,58,60,52,45,66,20,43,29.47491,22.901373,29.594506,23.26,36.3,34.1,24.22,42.27,23.04,18.41
11/23/2014 0:00,37,36.9,23,41.5,25.1,29.1,47.685342,29.191487,,,45,27,34,28,28.7,41.8,40.5,20,24.2,37.6,38,38,37,35,36,29,55.03,39.92,26.17,46.45,57.33,39,38,36.5,41.51,30.9,29,38.5,22.7,20,11,33,20.63,23.03,21.59,36,32,57,79,45,38,57,26,53,25.116939,23.152898,21.255375,11.89,38.1,37.4,29.47,50.26,26.73,35.64
11/24/2014 0:00,39,,29,47,25.2,15.1,19.016064,14.505939,,,27,31,29,33,20.9,32.9,34.9,17.3,19.4,35.1,29,52,59,20,37,65,26.15,21.05,21.08,21.59,25.82,29,39,25.9,,20.2,18.7,30.5,22.2,12,21,24,26.52,20.13,24.13,64,35,45,45,44,36,42,24,39,12.74094,,12.71442,18.21,32.9,31.9,23.39,32.11,27.07,21.8
11/25/2014 0:00,25,,41,,31,16.7,47.455645,27.347514,,,34,40,29,48,35.5,47.3,54,7.6,25.4,20.7,48,47,80,53,53,63,46.31,30.84,43.62,30.84,36.83,28,30,32.1,60.22,48.5,47.3,60.9,,24,,33,30.32,26.66,24.13,53,38,45,66,63,58,55,23,57,17.648557,,17.273228,30.04,24.8,34.6,11.06,12.34,8.41,9.8
11/26/2014 0:00,34,,41,,48.6,17.2,56.397327,39.40961,,,31,28,31,39,39.6,51,70,9.1,37,36.3,59,69,90,67,57,56,41.04,37.19,38.42,32.84,40.28,54,65,,43.17,55.2,51.9,49.9,,36,19,62,28.41,27.52,25.94,73,38,,105,95,84,116,35,75,19.83802,,17.896888,19.82,45.7,52.5,17.73,27.94,16.82,16.56
11/27/2014 0:00,51,,21,,48.5,28.9,40.207073,28.475138,,,29,30,31,38,31.3,42.7,39.6,15.5,29.6,47.3,46,29,95,37,32,38,41.95,36.65,31.99,33.93,38.82,40,50,,32.28,35,37.1,34.9,35.2,21,21,49,30.48,25.71,27.21,84,19,60,65,48,42,70,21,48,20.02002,,14.568309,22.72,40.7,38.1,22.29,48.44,20.51,30.24
11/28/2014 0:00,36,,63,,40.9,28,22.775909,25.725047,,24.7,31,36,35,33,34.7,45,42.9,17.1,27.8,44.8,42,29,86,36,30,45,35.23,31.75,36.53,29.75,36.65,38,32,26.7,34.64,32.9,31.1,31.5,33.9,28,20,32,27.84,23.53,21.5,70,19,45,51,37,36,51,30,37,16.382402,,15.494639,24.99,36.8,38.7,26.5,39.73,21.52,29.74
11/29/2014 0:00,31,,52,,35.2,35.3,29.928646,31.172514,,27.1,38,43,47,49,41.8,42,53,19.9,23.4,33.4,38,22,100,37,28,72,48.49,38.28,46.16,41.37,42.46,29,26,31.8,56.42,26.8,28.1,42.2,42.1,13,24,47,29.59,26.07,26.49,37,27,44,50,32,35,49,27,32,22.383171,,19.544944,25.61,42.7,43.9,,52.98,28.92,34.3
11/30/2014 0:00,38,,59,,39.3,33.5,37.223939,31.674373,,29.4,28,22,23,26,34.2,45.8,39.6,19.2,17.7,35.9,34,23,60,26,25,106,38.86,34.83,29.08,31.39,39.01,19,29,28.2,38.64,24.9,27.5,22.3,21.2,38,25,51,20.22,15.56,17.05,43,18,41,35,34,29,44,19,30,23.47546,,22.016749,28.59,41.1,35.7,,52.25,23.7,38.85
12/1/2014 0:00,23,,43,54.1,27.2,24.3,27.386447,22.59887,,23.5,25,28,27,31,26.2,39.6,33.8,,20.3,28.6,29,19,75,24,22,99,27.45,23.95,25.99,21.77,25.94,24,21,26.4,28.48,22.3,25,21.9,22.1,24,27,30,20.88,22.26,18.5,41,12,35,36,27,20,42,17,24,20.018927,,15.259881,27.55,35.87,29.74,,47.72,22.65,30.75
12/2/2014 0:00,34,,59,30.5,32.9,25.6,27.440097,23.270213,,18.7,31,33,31,33,29.6,47.1,38.4,,29.8,32.2,43,29,50,34,33,,28.69,27.94,27.08,23.22,29.21,34,32,36.1,164.16,37.8,37.1,,27.7,27,20,38,29.25,28.42,35.75,50,34,56,,40,41,59,28,,20.018198,,14.443542,,35.15,35.96,,50.26,23.33,29.23
12/3/2014 0:00,71,,202,35.9,62.8,48.1,55.343352,55.272786,,36.5,45,36,70,54,46.4,65,55,26.6,64,49.8,76,41,82,54,,117,54.3,48.63,41.26,43.91,51.7,61,66,44,7.26,55,70.8,,60.2,40,43,52,28.66,26.61,27.03,109,45,125,88,101,101,117,42,69,49.14631,,32.193949,,60.28,62.11,23.49,63.86,39.38,52.39
12/4/2014 0:00,69,,116,36.3,85.1,47.6,51.665203,48.129278,,36.5,38,34,60,45,75,81,93,22.9,53.7,51.6,,55,70,71,,102,82.45,46.99,64.7,69.67,64.04,65,61,39.7,43.53,101,59.5,47.1,46.9,28,25,39,29.37,27.19,27.4,,51,87,146,76,75,80,45,81,29.493692,,28.493549,,60.74,79.73,29.92,64.05,41.58,44.8
